FECHA,BUENOS AIRES,CABA,CATAMARCA,CHACO,CHUBUT,CORDOBA,CORRIENTES,ENTRE RIOS,FORMOSA,JUJUY,LA PAMPA,LA RIOJA,MENDOZA,MISIONES,NEUQUEN,RIO NEGRO,SALTA,SAN JUAN,SAN LUIS,SANTA CRUZ,SANTA FE,SANTIAGO DEL ESTERO,TIERRA DEL FUEGO,TUCUMAN,UNKNOWN,ARGENTINA
2020-03-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2020-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0
2020-03-06,1.0,0.25,,,,0.0,,,,,,,,,,,,,,,,,,,,0.3333333333333333
2020-03-07,,5.0,,,,,,,,,,,,,,,,,,,,,,,,8.0
2020-03-08,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,3.0
2020-03-09,,8.0,,0.0,,,,,,,,,,,,0.0,,,0.0,,,,,,,2.4
2020-03-10,3.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,8.5
2020-03-11,4.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,9.5
2020-03-12,1.25,3.6666666666666665,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,2.1
2020-03-13,9.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,10.333333333333334
2020-03-14,10.0,2.2857142857142856,,4.0,,2.0,,,,,,,,,,,,,,,0.0,,,,,3.090909090909091
2020-03-15,11.0,3.8333333333333335,,2.5,,,,,,,,,,,,,,,,,,,0.0,,,4.090909090909091
2020-03-16,12.0,5.8,,2.3333333333333335,,,,,,,,,,,,,,,,,,,,,,6.222222222222222
2020-03-17,6.5,8.5,,10.0,,1.5,,0.0,,0.0,,,,,,1.0,0.0,,,0.0,,,,,,4.642857142857143
2020-03-18,3.0,3.8,,11.0,,5.0,,1.0,,,,,,,,,,,,,,,,,,4.388888888888889
2020-03-19,1.3333333333333333,6.0,,6.0,,2.0,,,,,,,,,,2.0,,,,,1.0,,,0.0,,3.129032258064516
2020-03-20,3.888888888888889,6.222222222222222,,14.0,,1.8,0.0,2.0,,,,,,,0.0,,,,,,,0.0,2.0,,,4.266666666666667
2020-03-21,2.933333333333333,2.2413793103448274,,3.0,,3.5,0.5,,,,,,0.0,,,3.0,,,,,1.0,,1.0,1.0,,2.3582089552238807
2020-03-22,7.375,7.833333333333333,,2.857142857142857,,2.25,,,,,,,,0.0,,,,,,,,,,0.4,,5.487804878048781
2020-03-23,13.4,9.636363636363637,,6.75,,13.0,,,,,,,,,,,,,,,0.3076923076923077,,,,,7.6
2020-03-24,2.4,3.9,,3.4444444444444446,,4.0,,,,,0.0,,,,2.0,,,,,1.0,5.666666666666667,,1.5,,,3.5
2020-03-25,3.4,7.7368421052631575,,3.3333333333333335,,2.3333333333333335,,1.0,,,,,5.0,,3.0,,,,0.25,0.4,0.9090909090909091,,10.0,3.5,,3.365217391304348
2020-03-26,5.076923076923077,5.354838709677419,,17.333333333333332,,16.666666666666668,,,,0.5,,,6.0,,1.3333333333333333,,,,5.0,3.5,3.5,,3.6666666666666665,,,5.7701149425287355
2020-03-27,4.514285714285714,6.566666666666666,,11.0,,53.0,3.0,1.5,,,,,7.0,,2.3333333333333335,1.0,,,6.0,,5.4,1.0,,1.5,,5.8316831683168315
