FECHA,BUENOS AIRES,CABA,CATAMARCA,CHACO,CHUBUT,CORDOBA,CORRIENTES,ENTRE RIOS,FORMOSA,JUJUY,LA PAMPA,LA RIOJA,MENDOZA,MISIONES,NEUQUEN,RIO NEGRO,SALTA,SAN JUAN,SAN LUIS,SANTA CRUZ,SANTA FE,SANTIAGO DEL ESTERO,TIERRA DEL FUEGO,TUCUMAN,UNKNOWN,TOTAL
2020-03-03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-05,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020-03-06,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2020-03-07,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2020-03-08,3,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2020-03-09,3,8,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,16
2020-03-10,4,9,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,18
2020-03-11,5,10,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,20
2020-03-12,9,13,0,4,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,30
2020-03-13,10,12,0,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,29
2020-03-14,11,19,0,4,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,40
2020-03-15,12,25,0,6,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,0,51
2020-03-16,13,30,0,9,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,0,60
2020-03-17,15,34,0,10,0,5,0,1,0,1,0,0,0,0,0,2,1,0,1,1,1,0,2,0,0,74
2020-03-18,20,43,0,11,0,6,0,2,0,1,0,0,0,0,0,2,1,0,1,1,1,0,2,0,0,91
2020-03-19,35,51,0,13,0,9,0,2,0,1,0,0,0,0,0,3,1,0,1,1,2,0,2,1,0,122
2020-03-20,44,60,0,14,0,14,1,3,0,1,0,0,0,0,2,3,1,0,1,1,2,1,3,1,0,152
2020-03-21,57,67,0,19,0,18,3,3,0,1,0,0,5,0,2,3,1,0,1,1,4,1,6,2,0,194
2020-03-22,65,79,0,26,0,26,3,3,0,1,0,0,5,1,2,3,1,0,1,1,4,1,6,7,0,235
2020-03-23,70,77,0,30,0,28,3,3,0,1,0,0,5,1,2,3,1,0,1,1,17,1,6,7,-12,245
