FECHA,BUENOS AIRES,CABA,CATAMARCA,CHACO,CHUBUT,CORDOBA,CORRIENTES,ENTRE RIOS,FORMOSA,JUJUY,LA PAMPA,LA RIOJA,MENDOZA,MISIONES,NEUQUEN,RIO NEGRO,SALTA,SAN JUAN,SAN LUIS,SANTA CRUZ,SANTA FE,SANTIAGO DEL ESTERO,TIERRA DEL FUEGO,TUCUMAN,UNKNOWN,ARGENTINA
2020-03-03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-06,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2020-03-07,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-08,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2020-03-09,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5
2020-03-10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020-03-11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020-03-12,4,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2020-03-13,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2020-03-14,1,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11
2020-03-15,1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11
2020-03-16,1,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
2020-03-17,2,4,0,1,0,2,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,14
2020-03-18,5,10,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2020-03-19,15,8,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,31
2020-03-20,9,9,0,1,0,5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,30
2020-03-21,15,29,0,5,0,4,2,0,0,0,0,0,5,0,0,1,0,0,0,0,2,0,3,1,0,67
2020-03-22,8,12,0,7,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,41
2020-03-23,5,11,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,35
2020-03-24,30,30,0,9,0,7,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3,0,4,0,0,86
2020-03-25,30,19,0,12,0,15,0,3,0,0,0,0,1,0,1,0,0,0,4,5,22,0,1,2,0,115
2020-03-26,26,31,0,3,0,3,0,0,0,2,0,0,1,0,3,0,0,0,1,2,12,0,3,0,0,87
2020-03-27,35,30,0,5,0,1,1,4,0,0,0,0,1,0,3,4,0,0,1,0,10,1,-1,6,0,101
2020-03-28,8,18,0,5,0,1,4,0,0,0,0,0,1,0,2,0,0,0,-1,0,13,0,4,0,0,55
2020-03-29,16,13,0,4,0,18,1,0,0,0,2,1,1,1,0,0,0,1,0,0,13,0,4,0,0,75
2020-03-30,36,34,0,12,0,8,10,3,0,0,0,0,3,0,8,0,0,0,0,0,21,0,11,0,0,146
2020-03-31,17,19,0,3,0,14,1,0,0,0,0,0,2,1,0,1,0,0,0,0,22,0,7,1,0,88
2020-04-01,10,10,0,12,0,6,1,1,0,0,0,0,10,0,4,0,2,0,1,10,11,0,0,1,0,79
2020-04-02,36,24,0,3,0,16,1,2,0,2,0,3,0,0,4,0,0,0,2,2,8,1,24,4,0,132
2020-04-03,22,28,0,8,0,14,0,2,0,0,0,0,2,0,1,1,0,0,1,0,8,0,1,0,0,88
2020-04-04,26,34,0,8,0,3,0,0,0,0,0,2,0,0,4,5,0,0,0,1,5,1,8,1,0,98
2020-04-05,33,32,0,0,0,5,0,1,0,0,0,2,2,0,11,2,0,0,0,1,11,0,3,0,0,103
2020-04-06,12,17,0,4,0,7,2,0,0,0,0,1,1,0,6,2,0,0,1,0,8,6,2,5,0,74
2020-04-07,34,24,0,4,0,4,0,1,0,0,0,0,2,0,3,2,0,0,0,8,3,-1,2,1,0,87
2020-04-08,17,18,0,15,0,1,0,0,0,0,1,0,6,0,17,1,0,0,0,0,2,0,2,0,0,80
2020-04-09,29,23,0,6,0,5,0,1,0,0,0,5,2,0,7,13,0,0,0,0,7,0,0,1,0,99
2020-04-10,19,11,0,5,0,13,0,0,0,0,1,0,9,0,7,7,0,0,0,6,1,0,2,0,0,81
2020-04-11,37,46,0,0,0,32,0,0,0,0,0,4,5,0,1,23,0,1,0,3,3,3,8,1,0,167
2020-04-12,27,8,0,1,0,5,0,0,0,0,0,1,3,0,1,13,0,0,0,0,3,0,4,0,0,66
2020-04-13,29,10,0,3,0,4,7,0,0,0,0,3,2,0,2,3,0,0,0,0,2,0,4,0,0,69
2020-04-14,66,22,0,31,0,12,0,0,0,0,0,6,3,0,2,13,0,0,0,0,2,0,8,0,0,165
2020-04-15,62,30,0,7,1,6,0,0,0,0,0,3,1,0,1,12,0,0,0,0,2,0,3,0,1,129
2020-04-16,30,15,0,11,0,13,0,1,0,0,0,3,5,0,1,9,0,0,0,0,3,0,7,0,-1,97
2020-04-17,35,14,0,22,0,6,0,0,0,0,0,1,1,1,1,1,0,0,0,0,6,0,2,0,0,90
2020-04-18,31,14,0,24,0,2,0,0,0,0,0,0,0,1,3,3,0,0,0,0,3,0,0,0,0,81
2020-04-19,48,15,0,5,1,11,0,0,0,0,0,4,3,0,3,8,0,0,0,0,1,0,3,0,0,102
2020-04-20,42,22,0,5,0,0,3,0,0,0,0,0,1,0,3,10,0,0,0,1,2,0,0,1,0,90
2020-04-21,60,33,0,5,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,1,0,2,0,0,113
2020-04-22,61,39,0,7,0,5,0,0,0,0,0,5,1,0,1,17,0,0,0,0,5,0,0,3,0,144
2020-04-23,84,37,0,10,0,2,1,0,0,0,0,0,1,0,1,4,0,0,0,0,6,0,1,0,0,147
2020-04-24,61,79,0,7,0,2,4,0,0,0,0,2,0,1,0,11,0,0,0,1,3,0,1,0,0,172
2020-04-25,94,55,0,7,0,1,1,0,0,0,0,3,0,0,0,4,0,0,0,0,3,1,4,0,0,173
2020-04-26,56,36,0,3,0,3,6,1,0,0,0,0,0,0,1,1,1,0,0,1,0,2,0,1,0,112
2020-04-27,50,32,0,10,0,0,0,0,0,0,0,0,0,2,3,8,0,0,0,5,0,0,1,0,0,111
2020-04-28,48,50,0,0,0,2,1,0,0,0,0,1,1,0,0,13,0,0,0,0,1,0,6,1,0,124
2020-04-29,103,34,0,4,0,1,0,0,0,0,0,1,2,4,1,8,0,0,0,0,0,0,0,0,0,158
2020-04-30,66,45,0,3,0,2,1,0,0,0,0,0,5,0,1,14,0,0,0,1,0,0,2,2,0,142
2020-05-01,34,29,0,12,1,13,0,2,0,0,0,3,1,0,0,8,0,0,0,0,0,0,1,0,0,104
2020-05-02,45,58,0,11,1,12,0,0,0,0,0,0,0,12,0,6,0,0,0,0,0,0,3,0,0,148
2020-05-03,38,49,0,5,0,1,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,103
2020-05-04,38,43,0,5,0,6,0,0,0,0,0,1,0,1,0,7,0,0,0,0,0,0,0,3,0,104
