FECHA,BUENOS AIRES,CABA,CATAMARCA,CHACO,CHUBUT,CORDOBA,CORRIENTES,ENTRE RIOS,FORMOSA,JUJUY,LA PAMPA,LA RIOJA,MENDOZA,MISIONES,NEUQUEN,RIO NEGRO,SALTA,SAN JUAN,SAN LUIS,SANTA CRUZ,SANTA FE,SANTIAGO DEL ESTERO,TIERRA DEL FUEGO,TUCUMAN,UNKNOWN,ARGENTINA
2020-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-06,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-03-07,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-03-08,,3.0,,,,,,,,,,,,,,,,,,,,,,,,3.0
2020-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-12,,,,0.0,,,,,,,,,,,,,,,,,,,,,,3.0
2020-03-13,,,,0.0,,,,,,,,,,,,,,,,,,,,,,3.0
2020-03-14,,,,3.0,,,,,,,,,,,,,,,,,,,,,,6.0
2020-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-17,,3.0,,,,,,,,,,,,,,,,,,,,,,,,6.0
2020-03-18,,3.0,,,,,,,,,,,,,,,,,,,,,,,,6.0
2020-03-19,,6.0,,,,,,,,,,,,,,,,,,,,,,,,9.0
2020-03-20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2020-03-21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2020-03-22,3.0,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2020-03-23,3.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,6.0
2020-03-24,3.0,6.0,,1.5,,,,,,,,,,,,,,,,,,,,,,3.0
2020-03-25,2.0,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,2.25
2020-03-26,2.0,3.0,,4.5,,,,,,,,,0.0,,,0.0,,,,,,,,,,2.4
2020-03-27,4.0,2.4,,12.0,,,,,,,,,0.0,,,0.0,,,,,,,,,,3.272727272727273
2020-03-28,7.5,3.75,,,,,,,,,,,3.0,,,3.0,,,,,,,,,,6.0
