FECHA,BUENOS AIRES,CABA,CATAMARCA,CHACO,CHUBUT,CORDOBA,CORRIENTES,ENTRE RIOS,FORMOSA,JUJUY,LA PAMPA,LA RIOJA,MENDOZA,MISIONES,NEUQUEN,RIO NEGRO,SALTA,SAN JUAN,SAN LUIS,SANTA CRUZ,SANTA FE,SANTIAGO DEL ESTERO,TIERRA DEL FUEGO,TUCUMAN,UNKNOWN,ARGENTINA
2020-03-03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-05,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020-03-06,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2020-03-07,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
2020-03-08,3,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2020-03-09,3,9,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,17
2020-03-10,4,10,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,19
2020-03-11,5,11,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,21
2020-03-12,9,14,0,4,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,31
2020-03-13,10,16,0,4,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,34
2020-03-14,11,23,0,5,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,45
2020-03-15,12,29,0,7,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,0,56
2020-03-16,13,34,0,10,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,0,65
2020-03-17,15,38,0,11,0,5,0,1,0,1,0,0,0,0,0,2,1,0,1,1,1,0,2,0,0,79
2020-03-18,20,48,0,12,0,6,0,2,0,1,0,0,0,0,0,2,1,0,1,1,1,0,2,0,0,97
2020-03-19,35,56,0,14,0,9,0,2,0,1,0,0,0,0,0,3,1,0,1,1,2,0,2,1,0,128
2020-03-20,44,65,0,15,0,14,1,3,0,1,0,0,0,0,2,3,1,0,1,1,2,1,3,1,0,158
2020-03-21,59,94,0,20,0,18,3,3,0,1,0,0,5,0,2,4,1,0,1,1,4,1,6,2,0,225
2020-03-22,67,106,0,27,0,26,3,3,0,1,0,0,5,1,2,4,1,0,1,1,4,1,6,7,0,266
2020-03-23,72,117,0,31,0,28,3,3,0,1,0,0,5,1,2,4,1,0,1,1,17,1,6,7,0,301
